n_neighbors,weights,metric,recall,accuracy,precision,f1,train_time,pred_time
90,uniform,manhattan,1.0,0.9267857142857142,0.9071428571428573,0.9484848484848485,0.000605020523071289,0.0062465381622314456
85,uniform,manhattan,1.0,0.9267857142857142,0.9071428571428573,0.9484848484848485,0.0006073379516601563,0.006263251304626465
112,distance,manhattan,1.0,0.9242857142857142,0.9047619047619048,0.9469696969696969,0.0005872297286987305,0.006279397010803223
117,distance,manhattan,1.0,0.9242857142857142,0.9047619047619048,0.9469696969696969,0.0006190633773803711,0.006403141021728516
93,uniform,manhattan,1.0,0.9217857142857142,0.9014285714285716,0.945151515151515,0.0005861377716064453,0.006172819137573242
104,uniform,manhattan,1.0,0.9217857142857142,0.9014285714285716,0.945151515151515,0.000712442398071289,0.006516184806823731
101,uniform,manhattan,1.0,0.9217857142857142,0.9014285714285716,0.945151515151515,0.0006778764724731445,0.007302861213684082
134,distance,manhattan,1.0,0.9192857142857142,0.8980952380952383,0.9433333333333332,0.000545053482055664,0.0058966541290283205
137,distance,manhattan,1.0,0.9192857142857142,0.8980952380952383,0.9433333333333332,0.0005598688125610352,0.006270103454589844
129,distance,manhattan,1.0,0.9192857142857142,0.8980952380952383,0.9433333333333332,0.0005989360809326172,0.006614437103271484
120,uniform,manhattan,1.0,0.9192857142857142,0.8980952380952383,0.9433333333333332,0.0006218957901000977,0.006577515602111816
130,distance,manhattan,1.0,0.9192857142857142,0.8980952380952383,0.9433333333333332,0.0005860042572021485,0.006689825057983398
115,uniform,manhattan,1.0,0.9192857142857142,0.8980952380952383,0.9433333333333332,0.0006065893173217773,0.00604377269744873
130,uniform,manhattan,1.0,0.9167857142857142,0.8947619047619049,0.9415151515151515,0.0006010770797729492,0.006412415504455566
144,distance,manhattan,1.0,0.9167857142857142,0.8947619047619049,0.9415151515151515,0.0005984115600585938,0.006697945594787598
144,distance,manhattan,1.0,0.9167857142857142,0.8947619047619049,0.9415151515151515,0.0006421566009521485,0.006858525276184082
124,uniform,manhattan,1.0,0.9167857142857142,0.8947619047619049,0.9415151515151515,0.0005918502807617188,0.006199631690979004
141,distance,manhattan,1.0,0.9167857142857142,0.8947619047619049,0.9415151515151515,0.0005746650695800782,0.006470961570739746
132,uniform,manhattan,1.0,0.9142857142857141,0.8923809523809524,0.94,0.0004763031005859375,0.005552239418029785
131,uniform,manhattan,1.0,0.9142857142857141,0.8923809523809524,0.94,0.0006064796447753907,0.006345372200012207
127,uniform,manhattan,1.0,0.9142857142857141,0.8923809523809524,0.94,0.0006094264984130859,0.006476411819458008
133,uniform,manhattan,1.0,0.9142857142857141,0.8923809523809524,0.94,0.0006375408172607422,0.0065646028518676755
143,uniform,manhattan,1.0,0.9117857142857142,0.8900000000000001,0.9384848484848485,0.0006208181381225586,0.006630992889404297
139,uniform,manhattan,1.0,0.9117857142857142,0.8900000000000001,0.9384848484848485,0.0006094551086425781,0.006744794845581055
140,uniform,manhattan,1.0,0.9117857142857142,0.8900000000000001,0.9384848484848485,0.0006223630905151367,0.00636162281036377
135,uniform,manhattan,1.0,0.9117857142857142,0.8900000000000001,0.9384848484848485,0.0005826902389526367,0.006232900619506836
142,uniform,manhattan,1.0,0.9117857142857142,0.8900000000000001,0.9384848484848485,0.000608663558959961,0.006368017196655274
145,uniform,manhattan,1.0,0.9117857142857142,0.8900000000000001,0.9384848484848485,0.0006528234481811523,0.006554155349731445
147,uniform,manhattan,1.0,0.9064285714285714,0.8852380952380954,0.9354545454545454,0.0006151771545410156,0.006344218254089356
24,distance,euclidean,0.996,0.9646428571428571,0.9566666666666667,0.9741414141414143,0.0006059646606445312,0.006688027381896972
28,distance,euclidean,0.996,0.9646428571428571,0.9566666666666667,0.9741414141414143,0.0006143665313720703,0.006527032852172852
58,distance,euclidean,0.996,0.9542857142857142,0.9445714285714287,0.9675151515151516,0.0004988765716552735,0.005602617263793946
51,distance,euclidean,0.996,0.9517857142857141,0.942857142857143,0.9659595959595958,0.0005794620513916016,0.006295690536499024
52,distance,euclidean,0.996,0.9517857142857141,0.942857142857143,0.9659595959595958,0.0005152463912963867,0.005487723350524902
