n_neighbors,weights,metric,Mean_CV_Recall,Accuracy_Test,Precision_Test,F1_Test,Train_Time_sec,Pred_Time_sec
53,distance,euclidean,1.0,0.9542857142857142,0.942857142857143,0.9681818181818181,0.0006075668334960938,0.006510334014892578
63,distance,manhattan,1.0,0.9517857142857141,0.9404761904761905,0.9666666666666666,0.0006301355361938477,0.006586933135986328
64,distance,manhattan,1.0,0.9517857142857141,0.9404761904761905,0.9666666666666666,0.00061553955078125,0.006448192596435547
65,distance,manhattan,1.0,0.9517857142857141,0.9404761904761905,0.9666666666666666,0.0006266641616821289,0.00671618938446045
66,uniform,manhattan,1.0,0.9517857142857141,0.9404761904761905,0.9666666666666666,0.0006582975387573242,0.006787724494934082
66,distance,manhattan,1.0,0.9517857142857141,0.9404761904761905,0.9666666666666666,0.0006267309188842773,0.006877517700195313
67,distance,manhattan,1.0,0.9517857142857141,0.9404761904761905,0.9666666666666666,0.0006027793884277343,0.0065566921234130856
69,distance,manhattan,1.0,0.9517857142857141,0.9404761904761905,0.9666666666666666,0.0006235170364379882,0.006587867736816406
63,uniform,manhattan,1.0,0.9492857142857142,0.9371428571428573,0.9648484848484847,0.000655364990234375,0.006912574768066406
64,uniform,manhattan,1.0,0.9492857142857142,0.9371428571428573,0.9648484848484847,0.0006269311904907226,0.0069667243957519534
65,uniform,manhattan,1.0,0.9492857142857142,0.9371428571428573,0.9648484848484847,0.0006432151794433594,0.006834859848022461
67,uniform,manhattan,1.0,0.9492857142857142,0.9371428571428573,0.9648484848484847,0.0006623554229736328,0.006634683609008789
68,uniform,manhattan,1.0,0.9492857142857142,0.9371428571428573,0.9648484848484847,0.0006328058242797851,0.006629810333251953
68,distance,manhattan,1.0,0.9492857142857142,0.9371428571428573,0.9648484848484847,0.0006304740905761719,0.006792845726013183
70,uniform,manhattan,1.0,0.9492857142857142,0.9371428571428573,0.9648484848484847,0.0006569433212280274,0.006457719802856445
70,distance,manhattan,1.0,0.9492857142857142,0.9371428571428573,0.9648484848484847,0.0006431007385253907,0.0068853235244750975
71,distance,manhattan,1.0,0.9492857142857142,0.9371428571428573,0.9648484848484847,0.0006506776809692383,0.006932263374328613
72,distance,manhattan,1.0,0.9492857142857142,0.9371428571428573,0.9648484848484847,0.0005801916122436523,0.0062560224533081054
73,distance,manhattan,1.0,0.9492857142857142,0.9371428571428573,0.9648484848484847,0.0006289100646972657,0.006929969787597657
74,distance,manhattan,1.0,0.9492857142857142,0.9371428571428573,0.9648484848484847,0.0006277084350585938,0.006770305633544922
75,distance,manhattan,1.0,0.9492857142857142,0.9371428571428573,0.9648484848484847,0.0006009483337402344,0.0065426969528198245
76,distance,manhattan,1.0,0.9492857142857142,0.9371428571428573,0.9648484848484847,0.0006015682220458984,0.006645140647888184
77,distance,manhattan,1.0,0.9492857142857142,0.9371428571428573,0.9648484848484847,0.0006448221206665039,0.0068164396286010745
78,distance,manhattan,1.0,0.9492857142857142,0.9371428571428573,0.9648484848484847,0.0006046533584594726,0.006502342224121094
79,distance,manhattan,1.0,0.9492857142857142,0.9371428571428573,0.9648484848484847,0.0006560897827148438,0.0069349145889282225
80,distance,manhattan,1.0,0.9492857142857142,0.9371428571428573,0.9648484848484847,0.0006124687194824219,0.006698160171508789
81,distance,manhattan,1.0,0.9492857142857142,0.9371428571428573,0.9648484848484847,0.0006259965896606445,0.006778521537780762
82,distance,manhattan,1.0,0.9492857142857142,0.9371428571428573,0.9648484848484847,0.0006154298782348633,0.006545157432556153
83,distance,manhattan,1.0,0.9492857142857142,0.9371428571428573,0.9648484848484847,0.0006154537200927735,0.007125768661499023
84,distance,manhattan,1.0,0.9492857142857142,0.9371428571428573,0.9648484848484847,0.0006193828582763672,0.006745786666870117
85,distance,manhattan,1.0,0.9467857142857141,0.933809523809524,0.9630303030303028,0.0007323217391967773,0.007100391387939453
86,distance,manhattan,1.0,0.9467857142857141,0.933809523809524,0.9630303030303028,0.000650634765625,0.00696859359741211
69,uniform,manhattan,1.0,0.9442857142857142,0.9304761904761907,0.9612121212121213,0.0006183862686157226,0.006406993865966797
71,uniform,manhattan,1.0,0.9442857142857142,0.9304761904761907,0.9612121212121211,0.0005994844436645508,0.006360964775085449
72,uniform,manhattan,1.0,0.9442857142857142,0.9304761904761907,0.9612121212121211,0.0006165361404418945,0.00661562442779541
74,uniform,manhattan,1.0,0.9442857142857142,0.9304761904761907,0.9612121212121213,0.0006532335281372071,0.006819143295288086
76,uniform,manhattan,1.0,0.9442857142857142,0.9304761904761907,0.9612121212121213,0.0006238746643066406,0.006448798179626465
87,distance,manhattan,1.0,0.9417857142857141,0.9271428571428573,0.9593939393939392,0.0006603097915649414,0.007503695487976074
89,distance,manhattan,1.0,0.9417857142857141,0.9271428571428573,0.9593939393939394,0.0006426143646240235,0.0066299629211425785
90,distance,manhattan,1.0,0.9417857142857141,0.9271428571428573,0.9593939393939394,0.0006158781051635742,0.006827487945556641
73,uniform,manhattan,1.0,0.9392857142857142,0.923809523809524,0.9575757575757575,0.0006244230270385742,0.006566429138183593
77,uniform,manhattan,1.0,0.9392857142857142,0.923809523809524,0.9575757575757575,0.000742344856262207,0.006941099166870118
88,distance,manhattan,1.0,0.9392857142857142,0.923809523809524,0.9575757575757575,0.0006540107727050781,0.007043218612670899
75,uniform,manhattan,1.0,0.9367857142857141,0.9204761904761907,0.9557575757575758,0.0006291913986206055,0.006336908340454101
82,uniform,manhattan,1.0,0.9367857142857141,0.9204761904761907,0.9557575757575756,0.000605311393737793,0.006384696960449219
92,distance,manhattan,1.0,0.9367857142857141,0.9204761904761907,0.9557575757575756,0.0006722593307495117,0.0075351476669311525
93,distance,manhattan,1.0,0.9367857142857141,0.9204761904761907,0.9557575757575756,0.0006296586990356445,0.00682288646697998
94,distance,manhattan,1.0,0.9367857142857141,0.9204761904761907,0.9557575757575756,0.0006421518325805664,0.006928696632385254
91,distance,manhattan,1.0,0.9342857142857142,0.9171428571428573,0.9539393939393938,0.0006275701522827148,0.006862525939941406
95,distance,manhattan,1.0,0.9342857142857142,0.9171428571428573,0.9539393939393938,0.0006895351409912109,0.006938753128051758
97,distance,manhattan,1.0,0.9342857142857142,0.9171428571428573,0.9539393939393938,0.0006581783294677734,0.007101922035217285
98,distance,manhattan,1.0,0.9342857142857142,0.9171428571428573,0.9539393939393938,0.0006624650955200195,0.0073236370086669925
81,uniform,manhattan,1.0,0.9317857142857142,0.913809523809524,0.952121212121212,0.000635538101196289,0.006691393852233887
83,uniform,manhattan,1.0,0.9317857142857142,0.913809523809524,0.952121212121212,0.0006407976150512695,0.006572580337524414
96,distance,manhattan,1.0,0.9317857142857142,0.913809523809524,0.952121212121212,0.0006225204467773437,0.006812801361083984
99,distance,manhattan,1.0,0.9317857142857142,0.913809523809524,0.9521212121212119,0.0006163263320922851,0.006721668243408203
88,uniform,manhattan,1.0,0.9292857142857142,0.9104761904761907,0.9503030303030302,0.0005647516250610351,0.005932178497314453
